(102, 'Vuyyuru', '16.37 N', '80.85 E', 'Andhra Pradesh', 'Telugu'),
(103, 'Wanparti', '16.37 N', '78.07 E', 'Andhra Pradesh', 'Telugu'),
(104, 'Warangal', '18.01 N', '79.58 E', 'Andhra Pradesh', 'Telugu'),
(105, 'Yemmiganur', '15.73 N', '77.48 E', 'Andhra Pradesh', 'Telugu'),
(106, 'Itanagar', '27.14 N', '93.61 E', 'Arunachal Pradesh', 'Bengali'),
(107, 'Barpeta', '26.32 N', '91.00 E', 'Assam', 'Assamese'),
(108, 'Bongaigaon', '26.48 N', '90.54 E', 'Assam', 'Assamese'),
(109, 'Dhuburi', '26.03 N', '89.97 E', 'Assam', 'Assamese'),
(110, 'Dibrugarh', '27.49 N', '94.91 E', 'Assam', 'Assamese'),
(111, 'Diphu', '25.84 N', '93.43 E', 'Assam', 'Assamese'),
(112, 'Guwahati', '26.19 N', '91.75 E', 'Assam', 'Assamese'),
(113, 'Jorhat', '26.76 N', '94.20 E', 'Assam', 'Assamese'),
(114, 'Karimganj', '24.85 N', '92.36 E', 'Assam', 'Assamese'),
(115, 'Lakhimpur', '27.24 N', '94.10 E', 'Assam', 'Assamese'),
(116, 'Lanka', '25.93 N', '92.95 E', 'Assam', 'Assamese'),
(117, 'Nagaon', '26.35 N', '92.68 E', 'Assam', 'Assamese'),
(118, 'Sibsagar', '26.99 N', '94.63 E', 'Assam', 'Assamese'),
(119, 'Silchar', '24.83 N', '92.77 E', 'Assam', 'Assamese'),
(120, 'Tezpur', '26.63 N', '92.79 E', 'Assam', 'Assamese'),
(121, 'Tinsukia', '27.50 N', '95.36 E', 'Assam', 'Assamese'),
(122, 'Alipur Duar', '26.50 N', '89.53 E', 'West Bengal', 'Bengali'),
(123, 'Arambagh', '22.88 N', '87.78 E', 'West Bengal', 'Bengali'),
(124, 'Asansol', '23.69 N', '86.98 E', 'West Bengal', 'Bengali'),
(125, 'Ashoknagar Kalyangarh', '22.84 N', '88.63 E', 'West Bengal', 'Bengali'),
(126, 'Baharampur', '24.10 N', '88.24 E', 'West Bengal', 'Bengali'),
(127, 'Baidyabati', '22.79 N', '88.33 E', 'West Bengal', 'Bengali'),
(128, 'Baj Baj', '22.48 N', '88.17 E', 'West Bengal', 'Bengali'),
(129, 'Bally', '22.65 N', '88.35 E', 'West Bengal', 'Bengali'),
(130, 'Bally Cantonment', '22.65 N', '88.36 E', 'West Bengal', 'Bengali'),
(131, 'Balurghat', '25.23 N', '88.77 E', 'West Bengal', 'Bengali'),
(132, 'Bangaon', '23.05 N', '88.83 E', 'West Bengal', 'Bengali'),
(133, 'Bankra', '22.58 N', '88.31 E', 'West Bengal', 'Bengali'),
